iter	Passed	Remaining
1159	6091	30668
1160	6096	30659
1161	6100	30651
1162	6105	30643
1163	6110	30635
1164	6114	30626
1165	6119	30617
1166	6123	30609
1167	6128	30600
1168	6132	30591
1169	6137	30582
1170	6142	30573
1171	6146	30564
1172	6150	30555
1173	6155	30546
1174	6160	30537
1175	6164	30528
1176	6169	30520
1177	6173	30510
1178	6177	30502
1179	6182	30493
1180	6187	30486
1181	6191	30477
1182	6196	30468
1183	6201	30460
1184	6206	30455
1185	6210	30447
1186	6215	30439
1187	6220	30430
1188	6225	30424
1189	6231	30424
1190	6237	30424
1191	6243	30422
1192	6249	30420
1193	6255	30418
1194	6260	30411
1195	6265	30403
1196	6270	30397
1197	6274	30389
1198	6279	30380
1199	6283	30371
1200	6288	30363
1201	6293	30355
1202	6297	30347
1203	6302	30339
1204	6306	30330
1205	6311	30322
1206	6316	30313
1207	6320	30305
1208	6325	30297
1209	6329	30288
1210	6334	30279
1211	6338	30271
1212	6345	30271
1213	6350	30265
1214	6354	30257
1215	6359	30249
1216	6364	30241
1217	6368	30232
1218	6373	30224
1219	6377	30215
1220	6382	30208
1221	6387	30200
1222	6392	30196
1223	6397	30188
1224	6401	30179
1225	6406	30171
1226	6411	30163
1227	6415	30155
1228	6420	30147
1229	6426	30146
1230	6432	30145
1231	6439	30147
1232	6445	30147
1233	6451	30146
1234	6458	30147
1235	6463	30140
1236	6469	30139
1237	6474	30131
1238	6480	30130
1239	6485	30125
1240	6491	30123
1241	6496	30119
1242	6503	30119
1243	6509	30119
1244	6515	30118
1245	6520	30111
1246	6526	30112
1247	6532	30105
1248	6538	30104
1249	6543	30100
1250	6549	30098
1251	6555	30097
1252	6560	30090
1253	6567	30090
1254	6572	30085
1255	6578	30085
1256	6584	30085
1257	6589	30079
1258	6596	30079
1259	6602	30075
1260	6607	30073
1261	6614	30074
1262	6619	30068
1263	6626	30068
1264	6632	30070
1265	6639	30072
1266	6645	30070
1267	6651	30068
1268	6658	30069
1269	6663	30066
1270	6669	30062
1271	6674	30054
1272	6680	30052
1273	6686	30052
1274	6692	30048
1275	6697	30046
1276	6703	30044
1277	6708	30036
1278	6713	30028
1279	6717	30020
1280	6722	30011
1281	6726	30002
1282	6731	29995
1283	6736	29988
1284	6741	29980
1285	6745	29972
1286	6750	29964
1287	6754	29955
1288	6759	29948
1289	6764	29942
1290	6769	29935
1291	6773	29926
1292	6778	29917
1293	6783	29910
1294	6787	29902
1295	6792	29894
1296	6796	29886
1297	6801	29877
1298	6805	29869
1299	6810	29861
1300	6815	29853
1301	6819	29845
1302	6825	29842
1303	6832	29842
1304	6838	29841
1305	6845	29844
1306	6851	29845
1307	6857	29841
1308	6863	29840
1309	6869	29835
1310	6873	29827
1311	6878	29819
1312	6882	29811
1313	6887	29804
1314	6892	29797
1315	6897	29789
1316	6901	29781
1317	6906	29774
1318	6911	29766
1319	6915	29757
1320	6920	29749
1321	6924	29741
1322	6929	29734
1323	6934	29726
1324	6938	29718
1325	6943	29710
1326	6947	29701
1327	6952	29693
1328	6956	29685
1329	6961	29678
1330	6966	29670
1331	6970	29662
1332	6975	29653
1333	6980	29646
1334	6984	29638
1335	6989	29630
1336	6993	29622
1337	6998	29614
1338	7003	29607
1339	7007	29599
1340	7012	29592
1341	7017	29585
1342	7021	29577
1343	7028	29577
1344	7034	29576
1345	7040	29575
1346	7046	29573
1347	7053	29574
1348	7058	29568
1349	7063	29562
1350	7068	29556
1351	7073	29548
1352	7077	29541
1353	7082	29532
1354	7086	29524
1355	7091	29515
1356	7096	29508
1357	7100	29501
1358	7105	29492
1359	7110	29486
1360	7114	29478
1361	7119	29470
1362	7123	29462
1363	7128	29453
1364	7132	29446
1365	7137	29438
1366	7142	29431
1367	7146	29423
1368	7151	29414
1369	7156	29407
1370	7160	29399
1371	7164	29390
1372	7169	29383
1373	7174	29375
1374	7178	29366
1375	7183	29358
1376	7187	29351
1377	7192	29343
1378	7197	29336
1379	7201	29328
1380	7206	29319
1381	7210	29312
1382	7215	29304
1383	7221	29303
1384	7227	29301
1385	7233	29300
1386	7239	29299
1387	7246	29297
1388	7252	29296
1389	7257	29289
1390	7261	29281
1391	7266	29273
1392	7270	29265
1393	7275	29259
1394	7280	29251
1395	7284	29244
1396	7289	29236
1397	7294	29228
1398	7299	29223
1399	7303	29215
1400	7308	29207
1401	7313	29200
1402	7317	29192
1403	7322	29185
1404	7326	29177
1405	7331	29169
1406	7336	29162
1407	7340	29154
1408	7345	29146
1409	7349	29138
1410	7354	29130
1411	7358	29122
1412	7363	29115
1413	7367	29106
1414	7372	29099
1415	7378	29098
1416	7383	29092
1417	7388	29085
1418	7393	29077
1419	7397	29069
1420	7402	29061
1421	7407	29056
1422	7411	29048
1423	7416	29041
1424	7423	29041
1425	7429	29038
1426	7435	29038
1427	7441	29037
1428	7448	29037
1429	7454	29035
1430	7459	29029
1431	7464	29023
1432	7469	29017
1433	7473	29009
1434	7478	29002
1435	7483	28994
1436	7489	28992
1437	7494	28987
1438	7501	28988
1439	7507	28986
1440	7512	28979
1441	7516	28972
1442	7521	28966
1443	7526	28961
1444	7531	28953
1445	7536	28946
1446	7540	28938
1447	7545	28931
1448	7550	28924
1449	7556	28922
1450	7563	28923
1451	7569	28923
1452	7574	28917
1453	7579	28910
1454	7584	28903
1455	7588	28895
1456	7593	28889
1457	7598	28881
1458	7602	28873
1459	7607	28865
1460	7611	28858
1461	7616	28850
1462	7621	28846
1463	7627	28844
1464	7634	28844
1465	7640	28840
1466	7646	28840
1467	7653	28840
1468	7657	28833
1469	7662	28825
1470	7667	28818
1471	7672	28812
1472	7676	28804
1473	7681	28796
1474	7685	28789
1475	7690	28781
1476	7694	28773
1477	7700	28769
1478	7704	28762
1479	7709	28754
1480	7714	28747
1481	7718	28739
1482	7723	28732
1483	7728	28725
1484	7732	28717
1485	7737	28710
1486	7741	28702
1487	7746	28695
1488	7751	28688
1489	7757	28687
1490	7764	28687
1491	7769	28683
1492	7774	28677
1493	7780	28673
1494	7786	28671
